receiving_yards,depth,season,targets,team_passing_yards,team_pass_td,team_receptions,team_receiving_yards,height,weight,age,reception_td
295.0,2.0,2014,51.0,4066,27,394,4064,72.0,210.0,27,1.0
42.0,2.0,2022,14.0,4007,20,345,4007,74.0,195.0,24,2.0
286.0,2.0,2023,31.0,3566,29,337,3566,74.0,195.0,25,4.0
677.0,2.0,2012,76.0,3927,22,284,3920,75.0,210.0,26,5.0
627.0,1.0,2013,85.0,3379,24,292,3379,75.0,210.0,27,5.0
953.0,2.0,2014,119.0,4291,36,392,4291,75.0,210.0,28,9.0
515.0,2.0,2015,74.0,4812,38,404,4812,75.0,210.0,29,0.0
862.0,1.0,2016,107.0,4206,18,364,4206,75.0,210.0,30,6.0
548.0,1.0,2017,89.0,3386,26,304,3378,75.0,210.0,31,3.0
911.0,1.0,2012,130.0,4844,35,402,4844,72.0,200.0,31,4.0
294.0,2.0,2014,35.0,3407,22,292,3407,72.0,200.0,33,2.0
1508.0,1.0,2012,195.0,3298,23,287,3298,77.0,232.0,28,12.0
1299.0,1.0,2013,165.0,4450,39,373,4450,77.0,232.0,29,13.0
721.0,1.0,2014,106.0,4035,32,396,4035,77.0,232.0,30,8.0
1502.0,1.0,2015,173.0,4170,34,362,4170,77.0,232.0,31,14.0
792.0,1.0,2016,128.0,3645,19,311,3641,77.0,232.0,32,4.0
154.0,1.0,2017,33.0,3680,21,373,3680,77.0,232.0,33,0.0
136.0,2.0,2018,23.0,3448,37,280,3448,77.0,232.0,34,1.0
129.0,2.0,2018,17.0,3844,24,375,3844,68.0,181.0,22,0.0
69.0,1.0,2020,18.0,4620,27,408,4620,68.0,181.0,24,2.0
156.0,1.0,2022,32.0,3506,19,347,3506,68.0,181.0,26,0.0
324.0,2.0,2023,44.0,4700,31,424,4700,68.0,181.0,27,1.0
544.0,2.0,2012,59.0,4671,39,402,4664,72.0,194.0,36,5.0
115.0,2.0,2013,21.0,3914,23,363,3908,72.0,194.0,37,0.0
211.0,1.0,2012,25.0,3807,32,335,3807,73.0,195.0,25,3.0
6.0,2.0,2013,2.0,4318,35,364,4318,73.0,195.0,26,0.0
193.0,1.0,2014,26.0,3551,22,323,3551,73.0,195.0,27,1.0
59.0,2.0,2015,3.0,4104,33,334,4104,73.0,195.0,28,1.0
117.0,2.0,2016,11.0,3250,17,286,3228,73.0,195.0,29,0.0
81.0,1.0,2017,14.0,3065,18,288,3065,73.0,195.0,30,1.0
23.0,2.0,2018,2.0,4298,35,425,4298,74.0,215.0,25,0.0
106.0,2.0,2019,12.0,4134,18,382,4134,74.0,215.0,26,0.0
35.0,3.0,2020,4.0,4129,16,373,4123,74.0,215.0,27,0.0
250.0,2.0,2021,25.0,3573,16,348,3573,74.0,215.0,28,1.0
115.0,2.0,2019,13.0,3443,21,323,3455,69.0,185.0,24,0.0
394.0,1.0,2020,55.0,3115,19,292,3115,69.0,185.0,25,3.0
409.0,1.0,2021,65.0,3959,20,357,3919,69.0,185.0,26,2.0
145.0,1.0,2022,32.0,4040,15,357,4047,69.0,185.0,27,0.0
238.0,1.0,2023,33.0,4698,34,393,4698,69.0,185.0,28,2.0
99.0,2.0,2016,28.0,3418,16,347,3432,74.0,215.0,24,1.0
162.0,2.0,2017,29.0,3644,31,299,3644,74.0,215.0,25,1.0
199.0,2.0,2012,35.0,3234,29,259,3228,75.0,214.0,29,1.0
17.0,3.0,2022,3.0,4765,32,368,4765,73.0,190.0,23,0.0
499.0,2.0,2016,66.0,4343,20,439,4343,74.0,215.0,23,3.0
77.0,1.0,2017,35.0,3235,22,363,3235,74.0,215.0,24,0.0
340.0,2.0,2018,25.0,4261,31,353,4261,74.0,215.0,25,2.0
645.0,2.0,2019,70.0,5127,40,382,5127,74.0,215.0,26,7.0
505.0,1.0,2020,60.0,3115,19,292,3115,74.0,215.0,27,3.0
110.0,2.0,2022,19.0,4746,26,499,4732,74.0,215.0,29,1.0
1083.0,1.0,2012,131.0,3425,15,293,3425,74.0,200.0,26,1.0
1016.0,1.0,2013,133.0,3966,26,357,3966,74.0,200.0,27,5.0
485.0,1.0,2014,63.0,4066,27,394,4064,74.0,200.0,28,2.0
523.0,1.0,2015,77.0,4156,22,371,4156,74.0,200.0,29,2.0
564.0,2.0,2016,77.0,3313,20,312,3313,75.0,215.0,27,3.0
76.0,2.0,2017,8.0,4093,31,347,4093,75.0,215.0,28,0.0
18.0,2.0,2018,3.0,3287,19,311,3283,75.0,215.0,29,0.0
258.0,3.0,2015,26.0,3677,21,334,3677,75.0,211.0,25,0.0
219.0,2.0,2016,32.0,3799,25,325,3799,75.0,211.0,26,3.0
337.0,2.0,2017,24.0,3326,27,309,3308,75.0,211.0,27,3.0
60.0,2.0,2018,10.0,3309,29,292,3254,75.0,211.0,28,1.0
42.0,1.0,2023,6.0,4067,26,369,4067,68.0,173.0,26,0.0
136.0,3.0,2013,10.0,4291,25,363,4291,72.0,196.0,25,0.0
5.0,3.0,2015,1.0,4775,36,353,4775,72.0,196.0,27,0.0
82.0,2.0,2016,14.0,4425,30,383,4425,72.0,196.0,28,1.0
70.0,3.0,2017,9.0,3979,25,339,3979,72.0,196.0,29,0.0
62.0,2.0,2014,12.0,3407,22,292,3407,69.0,200.0,23,2.0
153.0,2.0,2015,19.0,3646,18,322,3646,69.0,200.0,24,0.0
330.0,2.0,2017,58.0,3644,31,299,3644,69.0,200.0,26,2.0
224.0,2.0,2018,42.0,4165,26,345,4165,69.0,200.0,27,1.0
193.0,1.0,2020,15.0,4383,31,369,4383,75.0,215.0,22,1.0
571.0,1.0,2021,60.0,4808,25,429,4808,75.0,215.0,23,3.0
15.0,2.0,2022,5.0,2927,17,257,2927,75.0,215.0,24,0.0
80.0,2.0,2016,12.0,3798,16,380,3798,72.0,185.0,22,0.0
79.0,2.0,2017,18.0,3537,19,312,3537,72.0,185.0,23,0.0
170.0,3.0,2019,16.0,4690,30,378,4667,73.0,203.0,26,1.0
160.0,3.0,2020,17.0,5005,40,420,5005,73.0,203.0,27,1.0
568.0,2.0,2021,60.0,4937,38,448,4928,73.0,203.0,28,5.0
135.0,2.0,2022,16.0,2598,21,223,2589,73.0,203.0,29,2.0
161.0,2.0,2023,22.0,4174,29,407,4174,73.0,203.0,30,0.0
31.0,2.0,2019,4.0,4023,26,364,4022,73.0,181.0,26,0.0
101.0,2.0,2020,16.0,3336,13,321,3336,73.0,181.0,27,0.0
51.0,2.0,2021,6.0,3463,18,351,3463,73.0,181.0,28,0.0
180.0,1.0,2023,30.0,3421,13,323,3414,69.0,162.0,24,1.0
1964.0,1.0,2012,204.0,5139,28,445,5139,77.0,237.0,27,6.0
1492.0,1.0,2013,158.0,4650,33,371,4650,77.0,237.0,28,13.0
1077.0,1.0,2014,128.0,4284,22,365,4284,77.0,237.0,29,8.0
1214.0,1.0,2015,149.0,4463,34,420,4463,77.0,237.0,30,10.0
821.0,2.0,2018,92.0,4949,39,428,4949,73.0,190.0,24,10.0
868.0,2.0,2019,95.0,5049,32,459,5049,73.0,190.0,25,7.0
1376.0,1.0,2020,145.0,4620,27,408,4620,73.0,190.0,26,9.0
281.0,1.0,2021,52.0,3987,23,377,3988,73.0,190.0,27,2.0
1018.0,1.0,2023,137.0,4377,23,412,4377,73.0,190.0,29,8.0
9.0,2.0,2018,1.0,3052,19,270,3052,72.0,201.0,23,0.0
27.0,3.0,2019,3.0,3205,21,298,3205,77.0,214.0,23,0.0
477.0,2.0,2020,48.0,3796,17,389,3796,77.0,214.0,24,1.0
211.0,2.0,2021,23.0,3746,23,356,3746,77.0,214.0,25,2.0
89.0,2.0,2022,18.0,3783,26,344,3783,77.0,214.0,26,0.0
82.0,2.0,2018,11.0,3255,17,293,3255,68.0,175.0,23,1.0
100.0,2.0,2020,13.0,3826,34,316,3826,68.0,175.0,25,1.0
15.0,2.0,2021,5.0,3745,23,359,3745,68.0,175.0,26,1.0
120.0,3.0,2015,16.0,3843,25,334,3843,75.0,207.0,23,0.0
888.0,2.0,2016,97.0,4139,21,347,4139,75.0,207.0,24,4.0
114.0,2.0,2018,10.0,4174,33,381,4174,75.0,207.0,26,1.0
979.0,2.0,2012,105.0,3746,25,328,3746,72.0,202.0,25,8.0
777.0,1.0,2013,125.0,3751,20,349,3751,72.0,202.0,26,4.0
557.0,1.0,2014,111.0,3451,20,325,3451,72.0,202.0,27,2.0
484.0,2.0,2015,75.0,4079,31,358,4079,72.0,202.0,28,3.0
152.0,2.0,2016,27.0,4165,31,355,4165,72.0,202.0,29,0.0
224.0,2.0,2023,44.0,4011,29,355,4011,75.0,215.0,23,1.0
46.0,2.0,2019,8.0,4902,30,388,4902,74.0,197.0,24,0.0
189.0,2.0,2020,28.0,4511,28,413,4511,74.0,197.0,25,2.0
604.0,2.0,2021,62.0,4963,42,444,4949,74.0,197.0,26,6.0
136.0,2.0,2022,18.0,4765,32,368,4765,74.0,197.0,27,0.0
296.0,2.0,2023,38.0,4698,34,393,4698,74.0,197.0,28,3.0
935.0,1.0,2020,111.0,4511,28,413,4511,74.0,200.0,21,5.0
1116.0,1.0,2021,121.0,4963,42,444,4949,74.0,200.0,22,6.0
1359.0,2.0,2022,156.0,3911,31,355,3911,74.0,200.0,23,9.0
1751.0,1.0,2023,182.0,4660,37,428,4660,74.0,200.0,24,12.0
39.0,2.0,2018,4.0,4298,35,425,4298,70.0,183.0,24,0.0
70.0,2.0,2019,2.0,3729,26,319,3725,70.0,183.0,25,0.0
201.0,2.0,2020,30.0,4265,37,349,4265,70.0,183.0,26,2.0
94.0,2.0,2017,17.0,3501,20,323,3511,74.0,202.0,22,0.0
258.0,2.0,2020,25.0,4843,34,383,4821,74.0,202.0,25,1.0
31.0,3.0,2017,7.0,3979,25,339,3979,74.0,204.0,23,0.0
